,price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
14756,1200.0,27.6,27.6,Unique,female,gallery,acrylic,signed,1.0,3.0,other,images_thesis\2278209_1_m.jpg
13118,170.0,7.9,7.9,Unique,male,gallery,other,signed,4.0,9.0,France,images_thesis\2321285_1_m.jpg
15022,1938.0,31.5,39.4,Unique,female,gallery,oil,signed,1.0,4.0,other,images_thesis\2178999_1_m.jpg
2881,698.0,22.8,18.1,Unique,female,gallery,other,signed,7.0,7.0,France,images_thesis\1973505_1_m.jpg
13783,1817.0,36.2,28.7,Unique,unknown,gallery,other,signed,1.0,2.0,France,images_thesis\2287290_1_m.jpg
4234,1234.0,16.1,13.0,Unique,male,gallery,oil,signed,82.0,6.0,other,images_thesis\2221224_1_m.jpg
654,911.0,9.1,13.0,Unique,male,gallery,other,not signed,55.0,6.0,other,images_thesis\1108410_1_m.jpg
12442,729.0,31.5,31.5,Unique,female,gallery,acrylic,signed,0.0,3.0,Ukraine,images_thesis\2323477_1_m.jpg
18847,2664.0,39.4,39.4,Unique,female,independent,acrylic,signed,5.0,3.0,other,images_thesis\1563483_1_m.jpg
4795,607.0,32.7,25.6,Unique,unknown,gallery,other,signed,2.0,3.0,France,images_thesis\1941402_1_m.jpg
19691,3742.0,31.0,22.5,Unique,female,gallery,other,signed,8.0,10.0,United States,images_thesis\531920_1_m.jpg
15202,727.0,27.6,31.5,Unique,male,gallery,other,signed,1.0,10.0,France,images_thesis\2280405_1_m.jpg
8524,668.0,31.5,23.6,Unique,unknown,gallery,other,signed,14.0,1.0,Ukraine,images_thesis\2285652_1_m.jpg
12406,850.0,19.7,14.6,Unique,male,gallery,other,signed,1.0,2.0,Spain,images_thesis\2291782_1_m.jpg
