price_numeric,Height,Width,Uniqueness,gender_guessed,gallery,painting,is_signed,age,years_selling,location,image_path
1958.0,23.6,23.6,Unique,male,gallery,other,signed,4.0,10.0,other,images_thesis\2210760_1_m.jpg
607.0,20.9,17.9,Unique,female,gallery,other,signed,1.0,10.0,France,images_thesis\2327460_1_m.jpg
2247.0,36.2,28.7,Unique,female,gallery,other,signed,4.0,9.0,France,images_thesis\2166473_1_m.jpg
6073.0,19.7,19.7,Unique,unknown,gallery,other,signed,2.0,4.0,United States,images_thesis\2200479_1_m.jpg
1603.0,31.5,31.5,Unique,unknown,gallery,oil,signed,7.0,7.0,France,images_thesis\767391_1_m.jpg
972.0,11.8,15.7,Unique,unknown,gallery,oil,not signed,3.0,3.0,Ukraine,images_thesis\1785654_1_m.jpg
2186.0,23.6,23.6,Unique,female,gallery,oil,signed,8.0,9.0,Spain,images_thesis\317125_1_m.jpg
369.0,7.7,13.8,Unique,male,gallery,other,signed,1.0,1.0,Ukraine,images_thesis\2297972_1_m.jpg
2915.0,31.5,31.5,Unique,unknown,gallery,other,signed,9.0,9.0,France,images_thesis\1063182_1_m.jpg
2915.0,19.7,19.7,Unique,unknown,gallery,other,signed,1.0,9.0,France,images_thesis\2333972_1_m.jpg
1800.0,35.4,55.1,Unique,female,gallery,acrylic,signed,1.0,1.0,United States,images_thesis\2334888_1_m.jpg
4251.0,46.5,46.5,Unique,unknown,gallery,other,signed,3.0,7.0,other,images_thesis\2004597_1_m.jpg
1093.0,13.8,17.7,Unique,male,gallery,acrylic,signed,1.0,1.0,other,images_thesis\2249586_1_m.jpg
850.0,23.6,28.7,Unique,unknown,independent,oil,signed,2.0,4.0,France,images_thesis\1974669_1_m.jpg
1090.0,31.9,39.4,Unique,unknown,gallery,acrylic,signed,2.0,3.0,Spain,images_thesis\2037441_1_m.jpg
799.0,31.5,23.6,Unique,female,gallery,acrylic,signed,7.0,7.0,France,images_thesis\912318_1_m.jpg
1574.0,25.2,25.2,Unique,male,gallery,other,signed,5.0,10.0,other,images_thesis\1267317_1_m.jpg
1938.0,39.4,31.5,Unique,female,gallery,oil,signed,1.0,4.0,other,images_thesis\2175167_1_m.jpg
632.0,7.9,7.9,Unique,male,gallery,acrylic,signed,7.0,8.0,France,images_thesis\464347_1_m.jpg
1938.0,23.6,27.6,Unique,unknown,gallery,other,not signed,2.0,3.0,Ukraine,images_thesis\2017176_1_m.jpg
607.0,19.7,15.7,Unique,unknown,gallery,other,signed,1.0,8.0,other,images_thesis\2246282_1_m.jpg
947.0,11.0,9.4,Unique,male,gallery,acrylic,signed,2.0,2.0,other,images_thesis\2155947_1_m.jpg
1931.0,40.6,31.5,Unique,male,gallery,other,signed,0.0,7.0,other,images_thesis\2327423_1_m.jpg
4858.0,24.0,24.0,Unique,female,gallery,acrylic,signed,4.0,9.0,Spain,images_thesis\1309905_1_m.jpg
242.0,11.8,11.8,Unique,female,independent,acrylic,signed,2.0,5.0,France,images_thesis\2178486_1_m.jpg
668.0,15.7,19.7,Unique,male,independent,oil,signed,0.0,1.0,other,images_thesis\2325932_1_m.jpg
